"Rk.x","Player","Debut.x","Age.x","Yrs.x","G.x","MP...7.x","FG.x","FGA.x","3P.x","3PA.x","FT.x","FTA.x","ORB.x","TRB...15.x","AST...16.x","STL...17.x","BLK...18.x","TOV.x","PF.x","PTS...21.x","FG%.x","3P%.x","FT%.x","MP...25.x","PTS...26.x","TRB...27.x","AST...28.x","STL...29.x","BLK...30.x","year","first_team","Rk.y","Debut.y","Age.y","Yrs.y","G.y","MP...7.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB...15.y","AST...16.y","STL...17.y","BLK...18.y","TOV.y","PF.y","PTS...21.y","FG%.y","3P%.y","FT%.y","MP...25.y","PTS...26.y","TRB...27.y","AST...28.y","STL...29.y","BLK...30.y"
37,"Robin Lopez","Oct 29, '08, PHO @ SAS",20,1,60,614,71,137,0,1,47,68,52,118,8,11,41,28,97,189,0.518,0,0.691,10.2,3.2,2,0.1,0.2,0.7,2008,"PHO",37,"Oct 29, '08, PHO @ SAS",20,16,992,20937,3484,6488,57,192,1301,1751,2147,4660,819,219,1045,1063,1858,8326,0.537,0.297,0.743,21.1,8.4,4.7,0.8,0.2,1.1
38,"Kevin Love","Oct 29, '08, MIN vs. SAC",20,1,81,2048,316,688,2,19,265,336,274,734,84,35,50,118,205,899,0.459,0.105,0.789,25.3,11.1,9.1,1,0.4,0.6,2008,"MIN",38,"Oct 29, '08, MIN vs. SAC",20,16,929,27254,5033,11469,1650,4475,3583,4323,2194,9403,2151,562,364,1665,1820,15299,0.439,0.369,0.829,29.3,16.5,10.1,2.3,0.6,0.4
39,"Cartier Martin","Jan 30, '09, CHA @ DEN",24,1,33,266,28,77,10,33,20,25,7,33,13,8,4,9,33,86,0.364,0.303,0.8,8.1,2.6,1,0.4,0.2,0.1,2008,"CHA",39,"Jan 30, '09, CHA @ DEN",24,7,243,3351,430,1098,218,586,151,207,88,463,121,97,27,128,317,1229,0.392,0.372,0.729,13.8,5.1,1.9,0.5,0.4,0.1
40,"O.J. Mayo","Oct 29, '08, MEM @ HOU",21,1,82,3120,562,1283,145,378,247,281,56,308,262,91,13,226,204,1516,0.438,0.384,0.879,38,18.5,3.8,3.2,1.1,0.2,2008,"MEM",40,"Oct 29, '08, MEM @ HOU",21,8,547,16919,2808,6547,854,2287,1104,1346,285,1706,1607,559,141,1130,1239,7574,0.429,0.373,0.82,30.9,13.8,3.1,2.9,1,0.3
41,"Luc Mbah a Moute","Oct 28, '08, MIL @ CHI",22,1,82,2114,227,491,0,4,140,192,189,487,87,87,45,100,204,594,0.462,0,0.729,25.8,7.2,5.9,1.1,1.1,0.5,2008,"MIL",41,"Oct 28, '08, MIL @ CHI",22,12,689,16038,1685,3708,207,619,803,1218,962,2800,588,612,263,646,1242,4380,0.454,0.334,0.659,23.3,6.4,4.1,0.9,0.9,0.4
42,"JaVale McGee","Oct 29, '08, WAS vs. NJN",21,1,75,1143,191,387,0,0,107,162,120,294,23,33,75,61,155,489,0.494,NA,0.66,15.2,6.5,3.9,0.3,0.4,1,2008,"WAS",42,"Oct 29, '08, WAS vs. NJN",21,16,909,14676,2955,5110,15,78,982,1627,1624,4577,386,345,1258,896,1923,6907,0.578,0.192,0.604,16.1,7.6,5,0.4,0.4,1.4
43,"Anthony Morrow","Nov 9, '08, GSW @ SAC",23,1,67,1515,255,534,86,184,80,92,78,199,80,36,12,52,130,676,0.478,0.467,0.87,22.6,10.1,3,1.2,0.5,0.2,2008,"GSW",43,"Nov 9, '08, GSW @ SAC",23,9,564,12280,1956,4380,807,1937,608,691,309,1215,494,317,75,380,897,5327,0.447,0.417,0.88,21.8,9.4,2.2,0.9,0.6,0.1
44,"DeMarcus Nelson","Oct 29, '08, GSW vs. NOH",23,1,13,171,24,54,0,3,5,14,6,24,13,9,2,15,24,53,0.444,0,0.357,13.2,4.1,1.8,1,0.7,0.2,2008,"GSW",44,"Oct 29, '08, GSW vs. NOH",23,1,13,171,24,54,0,3,5,14,6,24,13,9,2,15,24,53,0.444,0,0.357,13.2,4.1,1.8,1,0.7,0.2
45,"Greg Oden","Oct 28, '08, POR @ LAL",21,1,61,1314,198,351,0,0,144,226,169,424,31,25,69,87,238,540,0.564,NA,0.637,21.5,8.9,7,0.5,0.4,1.1,2008,"POR",45,"Oct 28, '08, POR @ LAL",21,3,105,2028,317,552,0,0,206,313,256,656,51,40,130,138,374,840,0.574,NA,0.658,19.3,8,6.2,0.5,0.4,1.2
46,"Anthony Randolph","Nov 3, '08, GSW @ MEM",19,1,63,1129,199,431,0,4,101,141,128,363,49,42,74,80,141,499,0.462,0,0.716,17.9,7.9,5.8,0.8,0.7,1.2,2008,"GSW",46,"Nov 3, '08, GSW @ MEM",19,6,252,3841,677,1494,20,83,415,561,335,1078,187,150,224,298,456,1789,0.453,0.241,0.74,15.2,7.1,4.3,0.7,0.6,0.9
