,"MPSSAA Basketball History of Finalists, 1947-2024",,,,,,
,GIRLS,,,,BOYS,,
,TEAM,YEAR,Final Standing,,TEAM,YEAR,Standing
,CATOCTIN,1985,Semifinalist,,BETHESDA-CHEVY CHASE,1959, Champion
,DULANEY,1985,Semifinalist,,HENRY E. LACKEY,1959, Champion
,FAIRMONT HEIGHTS,1985,Semifinalist,,VALLEY,1959, Champion
,FORESTVILLE,1985,Semifinalist,,ALLEGANY,1960, Semifinalist
,COL. ZADOK MAGRUDER,1985,Semifinalist,,BETHESDA-CHEVY CHASE,1960, Semifinalist
,BROOKLYN PARK,1985,Champion,,CRISFIELD,1960, Semifinalist
,NORTH HARFORD,1985, Semifinalist,,EASTON,1960, Semifinalist
,OLD MILL,1985, Semifinalist,,NORTH EAST (Cecil),1960, Semifinalist
,SOUTHERN (G),1985, Semifinalist,,NORTHERN (G),1960, Semifinalist
,ELEANOR ROOSEVELT,1985, Finalist,,POOLESVILLE,1960, Semifinalist
,SNOW HILL,1985, Finalist,,FRANCIS SCOTT KEY,1960, Finalist
,TOWSON,1985, Finalist,,MILFORD MILL,1960, Finalist
,SOUTHERN (AA),1985, Champion,,BLADENSBURG,1960, Champion
,WHEATON,1985, Champion,,SURRATTSVILLE,1960, Champion
,FALLSTON,1986,Semifinalist,,WALKERSVILLE,1960, Champion
,WALTER JOHNSON,1986,Semifinalist,,ANNAPOLIS,1961, Semifinalist
,NORTH CAROLINE,1986,Semifinalist,,BEALL,1961, Semifinalist
,BLADENSBURG,1986,Finalist,,CAMBRIDGE,1961, Semifinalist
,CATOCTIN,1986,Finalist,,GAITHERSBURG,1961, Semifinalist
,BROOKLYN PARK,1986,Champion,,FRANCIS SCOTT KEY,1961, Semifinalist
,MOUNT SAVAGE,1986, Semifinalist,,MILFORD MILL,1961, Semifinalist
,PATAPSCO,1986, Semifinalist,,FREDERICK SASSCER,1961, Semifinalist
,ROCKVILLE,1986, Semifinalist,,SUDLERSVILLE,1961, Semifinalist
,SURRATTSVILLE,1986, Semifinalist,,GLEN BURNIE,1961, Finalist
,NORTH HAGERSTOWN,1986, Finalist,,HANCOCK,1961, Finalist
,SOUTHERN (AA),1986, Finalist,,HENRY E. LACKEY,1961, Finalist
,MOUNT HEBRON,1986, Champion,,SOUTHERN (G),1961, Finalist
,OLD MILL,1986, Champion,,MONTGOMERY BLAIR,1961, Champion
,SOUTH RIVER,1986, Champion,,BRUCE,1961, Champion
,BLADENSBURG,1987,Semifinalist,,CRISFIELD,1961, Champion
,DULANEY,1987,Semifinalist,,SPARROWS POINT,1961, Champion
,FALLSTON,1987,Semifinalist,,ABERDEEN,1962, Semifinalist
,GOV. THOMAS JOHNSON,1987,Semifinalist,,ARUNDEL,1962, Semifinalist
,FRANCIS SCOTT KEY,1987,Semifinalist,,EMMITSBURG,1962, Semifinalist
,LINGANORE,1987,Semifinalist,,SOUTH HAGERSTOWN,1962, Semifinalist
,CATONSVILLE,1987,Finalist,,SPRINGBROOK,1962, Semifinalist
,BROOKLYN PARK,1987,Champion,,SUDLERSVILLE,1962, Semifinalist
,LA PLATA,1987,Champion,,TOWSON,1962, Semifinalist
,POCOMOKE,1987, Semifinalist,,VALLEY,1962, Semifinalist
,SOUTH RIVER,1987, Semifinalist,,BLADENSBURG,1962, Finalist
,MOUNT SAVAGE,1987, Finalist,,CRISFIELD,1962, Finalist
,ELEANOR ROOSEVELT,1987, Finalist,,NORTH CAROLINE,1962, Finalist
,SOUTHERN (AA),1987, Finalist,,WALKERSVILLE,1962, Finalist
,MOUNT HEBRON,1987, Champion,,MONTGOMERY BLAIR,1962, Champion
,ROCKVILLE,1987, Champion,,NORTH HARFORD,1962, Champion
,MONTGOMERY BLAIR,1988,Semifinalist,,POOLESVILLE,1962, Champion
,LANSDOWNE,1988,Semifinalist,,SURRATTSVILLE,1962, Champion
,HEREFORD,1988,Semifinalist,,CAMBRIDGE,1963, Semifinalist
,MARDELA,1988,Semifinalist,,FAIRMONT HEIGHTS,1963, Semifinalist
,FRIENDLY,1988,Finalist,,FREDERICK,1963, Semifinalist
,GOV. THOMAS JOHNSON,1988,Finalist,,GARNETT,1963, Semifinalist
,LANSDOWNE,1988,Finalist,,GLENEGL,1963, Semifinalist
,GWYNN PARK,1988,Finalist,,HANCOCK,1963, Semifinalist
,MEADE,1988,Finalist,,WALTER JOHNSON,1963, Semifinalist
,BROOKLYN PARK,1988,Champion,,MOTON,1963, Semifinalist
,DULANEY,1988,Champion,,WICOMICO,1963, Semifinalist
,GREAT MILLS,1988,Champion,,BLADENSBURG,1963, Finalist
,MIDDLETOWN,1988, Semifinalist,,MOUNT SAVAGE,1963, Finalist
,PARKSIDE,1988, Semifinalist,,SPRINGBROOK,1963, Finalist
,SEVERNA PARK,1988, Semifinalist,,ALLEGANY,1963, Champion
,SHERWOOD,1988, Semifinalist,,FREDERICK DOUGLASS (PG),1963, Champion
,SMITHSBURG,1988, Semifinalist,,POOLESVILLE,1963, Champion
,MOUNT HEBRON,1988, Champion,,TOWSON,1963, Champion
,STEPHEN DECATUR,1989,Semifinalist,,CARVER,1964, Semifinalist
,LANSDOWNE,1989,Semifinalist,,CENTRAL CONSOLIDATED,1964, Semifinalist
,ALBERT EINSTEIN,1989,Semifinalist,,MACE'S LANE,1964, Semifinalist
,ANDOVER,1989,Finalist,,NORTHWOOD,1964, Semifinalist
,FRIENDLY,1989,Finalist,,SURRATTSVILLE,1964, Semifinalist
,LANSDOWNE,1989,Finalist,,SYKESVILLE,1964, Semifinalist
,GLENELG,1989,Finalist,,WESTMINSTER,1964, Semifinalist
,BROADNECK,1989,Champion,,BEALL,1964, Finalist
,BROOKLYN PARK,1989,Champion,,HANCOCK,1964, Finalist
,GOV. THOMAS JOHNSON,1989,Champion,,TOWSON,1964, Finalist
,PAINT BRANCH,1989, Semifinalist,,ALLEGANY,1964, Champion
,PARKSIDE,1989, Semifinalist,,CRISFIELD,1964, Champion
,RISING SUN,1989, Semifinalist,,FAIRMONT HEIGHTS,1964, Champion
,SOUTHERN (AA),1989, Semifinalist,,WALKERSVILLE,1964, Champion
,WOODLAWN,1989, Semifinalist,,ALLEGANY,1965, Semifinalist
,VALLEY,1989, Finalist,,FORT HILL,1965, Semifinalist
,MIDDLETOWN,1989, Champion,,RICHARD MONTGOMERY,1965, Semifinalist
,MONTGOMERY BLAIR,1990,Semifinalist,,NORTH EAST (Cecil),1965, Semifinalist
,HEREFORD,1990,Semifinalist,,POCOMOKE,1965, Semifinalist
,MARDELA,1990,Semifinalist,,SHERWOOD,1965, Semifinalist
,BROOKLYN PARK,1990,Finalist,,SOLLERÕS POINT,1965, Semifinalist
,DOUGLASS (PG),1990,Finalist,,EASTON,1965, Finalist
,GOV. THOMAS JOHNSON,1990,Finalist,,LOCKERMAN,1965, Finalist
,BROADNECK,1990,Champion,,PARKVILLE,1965, Finalist
,NORTHEAST (AA),1990, Semifinalist,,WALKERSVILLE,1965, Finalist
,PARKSIDE,1990, Semifinalist,,ARUNDEL,1965, Champion
,WOODLAWN,1990, Semifinalist,,CENTRAL CONSOLIDATED,1965, Champion
,MIDDLETOWN,1990, Finalist,,SOMERSET,1965, Champion
,PARKVILLE,1990, Finalist,,SURRATTSVILLE,1965, Champion
,MOUNT HEBRON,1990, Champion,,BEALL,1966, Semifinalist
,WESTMAR,1990, Champion,,BOHEMIA MANOR,1966, Semifinalist
,BRUNSWICK,1991,Semifinalist,,EDGEWOOD,1966, Semifinalist
,DOUGLASS (PG),1991,Semifinalist,,MACE'S LANE,1966, Semifinalist
,FAIRMONT HEIGHTS,1991,Semifinalist,,MOUNT SAVAGE,1966, Semifinalist
,FREDERICK,1991,Semifinalist,,POOLESVILLE,1966, Semifinalist
,GAITHERSBURG,1991,Semifinalist,,SOUTH HAGERSTOWN,1966, Semifinalist
,KENT COUNTY,1991,Semifinalist,,SYKESVILLE,1966, Semifinalist
,GLENELG,1991,Semifinalist,,TOWSON,1966, Semifinalist
,DUVAL,1991,Champion,,BROOKLYN PARK,1966, Finalist
,NORTH CAROLINE,1991, Finalist,,BRUCE,1966, Finalist
,NORTHERN (Cal.),1991, Finalist,,HIGH POINT,1966, Finalist
,OAKLAND MILLS,1991, Finalist,,FREDERICK DOUGLASS (PG),1966, Champion
,PARKSIDE,1991, Finalist,,FAIRMONT HEIGHTS,1966, Champion
,SPRINGBROOK,1991, Finalist,,RICHARD MONTGOMERY,1966, Champion
,MOUNT HEBRON,1991, Champion,,SOMERSET,1966, Champion
,OLD MILL,1991, Champion,,ATHOLTON,1967, Semifinalist
,WESTMAR,1991, Champion,,NORTH HAGERSTOWN,1967, Semifinalist
,BRUNSWICK,1992,Semifinalist,,PERRYVILLE,1967, Semifinalist
,CALVERT,1992,Semifinalist,,POCOMOKE,1967, Semifinalist
,DAMASCUS,1992,Semifinalist,,POOLESVILLE,1967, Semifinalist
,LEONARDTOWN,1992,Semifinalist,,SYKESVILLE,1967, Semifinalist
,LAUREL,1992,Semifinalist,,TOWSON,1967, Semifinalist
,BOWIE,1992,Finalist,,VALLEY,1967, Semifinalist
,FALLSTON,1992,Finalist,,WICOMICO,1967, Semifinalist
,GLENELG,1992,Finalist,,MACE'S LANE,1967, Finalist
,HAMMOND,1992,Champion,,RICHARD MONTGOMERY,1967, Finalist
,LINGANORE,1992,Champion,,SURRATTSVILLE,1967, Finalist
,SNOW HILL,1992, Semifinalist,,FREDERICK,1967, Champion
,WICOMICO,1992, Semifinalist,,MOUNT SAVAGE,1967, Champion
,WATKINS MILL,1992, Finalist,,NORTHWESTERN (PG),1967, Champion
,OLD MILL,1992, Champion,,FREDERICK SASSCER,1967, Champion
,WILLIAMSPORT,1992, Champion,,ANDOVER,1968, Semifinalist
,CENTRAL (PG),1993,Semifinalist,,ANNAPOLIS,1968, Semifinalist
,FALLSTON,1993,Semifinalist,,JAMES M. BENNETT,1968, Semifinalist
,LANSDOWNE,1993,Semifinalist,,BOHEMIA MANOR,1968, Semifinalist
,HOWARD,1993,Semifinalist,,DUNDALK,1968, Semifinalist
