"X","X.1","X.2","X.3","X.4","X.5","Totals","Totals.1","Totals.2","Totals.3","Totals.4","Shooting","Shooting.1","Shooting.2","Per.Game","Per.Game.1","Per.Game.2","Per.Game.3","Advanced","Advanced.1","Advanced.2","Advanced.3","Team"
"1972","NBA","16","193","Mose Adolph","California State University, Los Angeles","","","","","","","","","","","","","","","","","POR"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","POR"
"1971","NBA","1","2","Sidney Wicks","UCLA","760","25762","12803","6620","2437",".459","",".685","33.9","16.8","8.7","3.2","42.4",".079","-0.3","8.2","POR"
"1971","NBA","2","25","Charlie Yelverton","Fordham","69","1227","545","201","81",".389","",".707","17.8","7.9","2.9","1.2","-0.5","-0.018","","","POR"
"1971","NBA","2","27","Richard Fisher","Colorado State","","","","","","","","","","","","","","","","","POR"
"1971","NBA","3","37","Larry Steele","Kentucky","610","14777","5009","1781","1719",".483","",".796","24.2","8.2","2.9","2.8","28.2",".091","0.2","6.7","POR"
"1971","NBA","3","42","William Smith","Syracuse","30","491","205","143","20",".431","",".597","16.4","6.8","4.8","0.7","0.1",".014","","","POR"
"1971","NBA","4","54","Bobby Fields","La Salle","","","","","","","","","","","","","","","","","POR"
"1971","NBA","5","71","Hector Blondet","Murray State","","","","","","","","","","","","","","","","","POR"
"1971","NBA","6","88","Jim Day","Morehead State University","","","","","","","","","","","","","","","","","POR"
"1971","NBA","7","105","Gene Knolle","Texas Tech","","","","","","","","","","","","","","","","","POR"
"1971","NBA","8","122","John Sutter","Tulane","","","","","","","","","","","","","","","","","POR"
"1971","NBA","9","139","Goo Kennedy","TCU","32","277","65","51","6",".534","",".375","8.7","2.0","1.6","0.2","0.3",".045","-2.7","0.0","POR"
"1971","NBA","10","155","Greg Starrick","Southern Illinois","","","","","","","","","","","","","","","","","POR"
"1971","NBA","11","171","Howard Burford","Gonzaga","","","","","","","","","","","","","","","","","POR"
"1971","NBA","12","185","Don Sechler","Delaware Valley College","","","","","","","","","","","","","","","","","POR"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","POR"
"1970","NBA","1","8","Geoff Petrie","Princeton","446","16787","9732","1271","2057",".455","",".805","37.6","21.8","2.8","4.6","26.1",".075","-1.4","1.3","POR"
"1970","NBA","2","25","Walt Gilmore","Fort Valley State University","27","261","58","73","12",".426","",".462","9.7","2.1","2.7","0.4","0.2",".033","","","POR"
"1970","NBA","3","42","Bill Cain","Iowa State","","","","","","","","","","","","","","","","","POR"
"1970","NBA","4","59","Jim Penix","Bowling Green","","","","","","","","","","","","","","","","","POR"
"1970","NBA","5","76","Ron Knight","California State University, Los Angeles","101","1145","472","283","83",".433","",".500","11.3","4.7","2.8","0.8","0.2",".007","","","POR"
"1970","NBA","6","93","George Janky","Dayton","","","","","","","","","","","","","","","","","POR"
"1970","NBA","7","110","Claude English","Rhode Island","18","70","27","20","6",".262","",".714","3.9","1.5","1.1","0.3","-0.3","-0.215","","","POR"
"1970","NBA","8","127","Doug Boyd","TCU","","","","","","","","","","","","","","","","","POR"
"1970","NBA","9","144","Billy Gaskins","Oregon","","","","","","","","","","","","","","","","","POR"
"1970","NBA","10","161","Israel Oliver","Elizabeth City State University","","","","","","","","","","","","","","","","","POR"
"1970","NBA","11","176","Dan McLemore","Bowling Green","","","","","","","","","","","","","","","","","POR"
"1970","NBA","12","188","Paul Adams","Central Washington University","","","","","","","","","","","","","","","","","POR"
"1970","NBA","13","199","Alex Boyd","Nevada","","","","","","","","","","","","","","","","","POR"
"1970","NBA","14","208","Frank Lothridge","University of Texas Rio Grande Valley","","","","","","","","","","","","","","","","","POR"
"1970","NBA","15","218","Wayne Canaday","Miami (FL)","","","","","","","","","","","","","","","","","POR"
"1970","NBA","16","226","Doug Williams","St. Mary's University","","","","","","","","","","","","","","","","","POR"
"1970","NBA","18","235","Bruce Butchko","Southern Illinois","","","","","","","","","","","","","","","","","POR"
"1970","NBA","19","239","Mark Gabriel","Hanover College","","","","","","","","","","","","","","","","","POR"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2024","NBA","1","13","Devin Carter","Providence","","","","","","","","","","","","","","","","","SAC"
"2024","NBA","2","45","Jamal Shead (↳TOR)","Houston","16","243","74","14","50",".370",".192",".750","15.2","4.6","0.9","3.1","-0.4","-0.075","-9.0","-0.4","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2023","NBA","1","24","Olivier-Maxence Prosper (↳DAL)","Marquette","49","391","137","92","22",".385",".271",".682","8.0","2.8","1.9","0.4","0.6",".069","-3.7","-0.2","SAC"
"2023","NBA","2","38","Jordan Walsh (↳BOS)","Arkansas","21","191","31","32","8",".343",".240",".333","9.1","1.5","1.5","0.4","0.2",".047","-4.0","-0.1","SAC"
"2023","NBA","2","54","Jalen Slawson","Furman University","12","37","8","7","2",".667",".000","","3.1","0.7","0.6","0.2","0.0",".058","-6.4","0.0","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2022","NBA","1","4","Keegan Murray","Iowa","172","5520","2340","911","252",".452",".378",".810","32.1","13.6","5.3","1.5","10.4",".090","-1.0","1.4","SAC"
"2022","NBA","2","37","Jaden Hardy (↳DAL)","","135","1898","1028","240","193",".418",".369",".813","14.1","7.6","1.8","1.4","1.0",".025","-3.6","-0.8","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2021","NBA","1","9","Davion Mitchell","Baylor","243","5090","1819","409","728",".432",".324",".706","20.9","7.5","1.7","3.0","3.1",".030","-3.4","-1.8","SAC"
"2021","NBA","2","39","Neemias Queta","Utah State University","62","746","301","239","37",".607",".000",".672","12.0","4.9","3.9","0.6","2.9",".184","-0.9","0.2","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2020","NBA","1","12","Tyrese Haliburton","Iowa State","275","9070","4713","1013","2401",".472",".386",".854","33.0","17.1","3.7","8.7","28.0",".148","4.2","14.3","SAC"
"2020","NBA","2","35","Xavier Tillman (↳MEM)","Michigan State","237","4034","1370","955","316",".516",".263",".574","17.0","5.8","4.0","1.3","10.3",".122","0.2","2.2","SAC"
"2020","NBA","2","43","Jahmi'us Ramsey","Texas Tech","39","349","147","45","21",".416",".271",".680","8.9","3.8","1.2","0.5","-0.1","-0.008","-5.4","-0.3","SAC"
"2020","NBA","2","52","Kenyon Martin (↳HOU)","","277","5926","2425","1145","329",".546",".338",".664","21.4","8.8","4.1","1.2","11.6",".094","-1.5","0.7","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2019","NBA","2","40","Justin James","Wyoming","72","542","228","62","40",".446",".343",".544","7.5","3.2","0.9","0.6","0.3",".024","-3.1","-0.2","SAC"
"2019","NBA","2","47","Ignas Brazdeikis (↳NYK)","Michigan","64","838","318","122","58",".416",".315",".686","13.1","5.0","1.9","0.9","0.4",".024","-4.9","-0.6","SAC"
"2019","NBA","2","60","Vanja Marinković","","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2018","NBA","1","2","Marvin Bagley","Duke","267","6262","3372","1825","244",".518",".293",".692","23.5","12.6","6.8","0.9","11.9",".091","-1.7","0.5","SAC"
"2018","NBA","2","37","Gary Trent (↳POR)","Duke","354","10131","4976","838","523",".420",".384",".822","28.6","14.1","2.4","1.5","15.9",".075","-1.2","2.1","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2017","NBA","1","5","De'Aaron Fox","Kentucky","484","15981","10372","1859","2955",".472",".335",".740","33.0","21.4","3.8","6.1","31.3",".094","0.9","11.9","SAC"
"2017","NBA","1","10","Zach Collins (↳POR)","Gonzaga","330","6416","2729","1600","606",".480",".338",".759","19.4","8.3","4.8","1.8","10.1",".076","-1.6","0.7","SAC"
"2017","NBA","2","34","Frank Mason","Kansas","103","1616","695","204","272",".396",".301",".755","15.7","6.7","2.0","2.6","1.2",".035","-2.7","-0.3","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2016","NBA","1","8","Marquese Chriss (↳PHO)","Washington","292","5338","2206","1366","298",".456",".290",".667","18.3","7.6","4.7","1.0","6.5",".058","-2.4","-0.5","SAC"
"2016","NBA","2","59","Isaiah Cousins","Oklahoma","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2015","NBA","1","6","Willie Cauley-Stein","Kentucky","422","9276","3675","2470","598",".544",".188",".612","22.0","8.7","5.9","1.4","23.3",".121","-0.1","4.4","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2014","NBA","1","8","Nik Stauskas","Michigan","343","6701","2290","691","515",".389",".354",".812","19.5","6.7","2.0","1.5","3.9",".028","-3.0","-1.7","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2013","NBA","1","7","Ben McLemore","Kansas","556","12534","5015","1269","563",".414",".363",".780","22.5","9.0","2.3","1.0","9.0",".035","-3.1","-3.4","SAC"
"2013","NBA","2","36","Ray McCallum","Detroit Mercy","154","2808","920","306","368",".408",".335",".711","18.2","6.0","2.0","2.4","2.1",".035","-2.6","-0.4","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2012","NBA","1","5","Thomas Robinson","Kansas","313","4204","1528","1507","190",".470",".000",".505","13.4","4.9","4.8","0.6","4.6",".053","-3.5","-1.6","SAC"
"2012","NBA","2","36","Orlando Johnson (↳IND)","UC Santa Barbara","103","1112","329","180","69",".358",".311",".727","10.8","3.2","1.7","0.7","1.4",".059","-2.4","-0.1","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2011","NBA","1","7","Bismack Biyombo (↳CHA)","","839","16384","4251","4951","551",".535",".000",".553","19.5","5.1","5.9","0.7","32.4",".095","-2.5","-2.2","SAC"
"2011","NBA","2","35","Tyler Honeycutt","UCLA","24","120","28","24","9",".314",".200",".714","5.0","1.2","1.0","0.4","-0.1","-0.049","-5.1","-0.1","SAC"
"2011","NBA","2","60","Isaiah Thomas","Washington","556","15582","9723","1321","2641",".434",".363",".872","28.0","17.5","2.4","4.8","45.3",".140","2.1","16.1","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2010","NBA","1","5","DeMarcus Cousins","Kentucky","654","19508","12802","6664","1979",".460",".331",".737","29.8","19.6","10.2","3.0","46.8",".115","2.4","21.6","SAC"
"2010","NBA","2","33","Hassan Whiteside","Marshall","511","12645","6450","5523","327",".586",".308",".605","24.7","12.6","10.8","0.6","52.0",".197","2.5","14.5","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2009","NBA","1","4","Tyreke Evans","Memphis","594","18242","9347","2720","2852",".440",".323",".757","30.7","15.7","4.6","4.8","28.4",".075","0.8","13.1","SAC"
"2009","NBA","1","23","Omri Casspi","","588","11959","4642","2355","662",".454",".368",".678","20.3","7.9","4.0","1.1","19.6",".078","-0.8","3.5","SAC"
"2009","NBA","2","31","Jeff Ayres (↳POR)","Arizona State","237","2322","690","632","99",".553",".400",".776","9.8","2.9","2.7","0.4","6.3",".131","-2.3","-0.2","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2008","NBA","1","12","Jason Thompson","Rider University","588","14819","5210","3880","635",".496",".143",".657","25.2","8.9","6.6","1.1","23.8",".077","-2.6","-2.4","SAC"
"2008","NBA","2","42","Sean Singletary (↳HOU ↳PHO)","Virginia","37","303","90","35","29",".365",".400",".857","8.2","2.4","0.9","0.8","0.0",".006","-5.1","-0.2","SAC"
"2008","NBA","2","43","Patrick Ewing (↳HOU ↳NYK)","Georgetown","7","19","3","2","2",".000",".000",".750","2.7","0.4","0.3","0.3","-0.1","-0.158","-9.1","0.0","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2007","NBA","1","10","Spencer Hawes","Washington","684","15541","5932","3893","1271",".457",".350",".716","22.7","8.7","5.7","1.9","22.6",".070","-1.1","3.4","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2006","NBA","1","19","Quincy Douby","Rutgers University","143","1535","588","152","93",".389",".312",".884","10.7","4.1","1.1","0.7","0.0",".000","-3.5","-0.6","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2005","NBA","1","23","Francisco García","Louisville","549","11853","4323","1400","747",".427",".357",".799","21.6","7.9","2.6","1.4","18.2",".074","-0.1","5.7","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2004","NBA","1","26","Kevin Martin","Western Carolina University","714","21559","12396","2278","1352",".437",".384",".870","30.2","17.4","3.2","1.9","61.3",".137","1.0","16.1","SAC"
"2004","NBA","2","48","Ricky Minard","Morehead State University","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2002","NBA","1","28","Dan Dickau (↳ATL)","Gonzaga","300","4617","1745","405","752",".401",".341",".831","15.4","5.8","1.4","2.5","5.9",".061","-1.5","0.6","SAC"
"2002","NBA","2","58","Corsley Edwards","Central Connecticut State University","10","110","27","25","3",".323","",".583","11.0","2.7","2.5","0.3","0.1",".026","-6.2","-0.1","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2001","NBA","1","25","Gerald Wallace","Alabama","832","24731","9933","4838","1725",".469",".312",".709","29.7","11.9","5.8","2.1","59.7",".116","1.8","23.5","SAC"
"2001","NBA","2","55","Maurice Jeffers","Saint Louis","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"2000","NBA","1","16","Hedo Türkoğlu","","997","26695","11022","3971","2832",".426",".384",".784","26.8","11.1","4.0","2.8","63.3",".114","0.9","19.6","SAC"
"2000","NBA","2","45","Jabari Smith","LSU","108","1063","329","178","66",".413",".125",".690","9.8","3.0","1.6","0.6","1.3",".058","-4.3","-0.6","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1999","NBA","2","45","Ryan Robertson","Kansas","1","25","5","0","0",".333",".000","1.000","25.0","5.0","0.0","0.0","0.0","-0.022","-5.4","0.0","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1998","NBA","1","7","Jason Williams","Florida","788","23188","8266","1810","4611",".398",".327",".813","29.4","10.5","2.3","5.9","38.5",".080","0.2","12.9","SAC"
"1998","NBA","2","36","Jerome James","Florida A&M","358","4771","1540","1099","118",".485",".000",".617","13.3","4.3","3.1","0.3","2.9",".029","-4.9","-3.5","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1997","NBA","1","11","Tariq Abdul-Wahad","San Jose State","236","4807","1830","776","266",".417",".237",".703","20.4","7.8","3.3","1.1","3.5",".035","-3.0","-1.2","SAC"
"1997","NBA","2","40","Anthony Johnson","College of Charleston","793","15552","4432","1358","2274",".414",".356",".745","19.6","5.6","1.7","2.9","23.2",".072","-1.5","2.0","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1996","NBA","1","14","Peja Stojaković","","804","26966","13647","3782","1408",".450",".401",".895","33.5","17.0","4.7","1.8","82.6",".147","1.9","26.2","SAC"
"1996","NBA","2","41","Jason Sasser","Texas Tech","14","108","30","15","4",".412",".333",".500","7.7","2.1","1.1","0.3","0.0","-0.014","-5.7","-0.1","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1995","NBA","1","13","Corliss Williamson","Arkansas","822","18749","9147","3183","972",".490",".136",".714","22.8","11.1","3.9","1.2","34.7",".089","-2.0","-0.1","SAC"
"1995","NBA","2","47","Tyus Edney","UCLA","226","4743","1728","393","910",".405",".322",".806","21.0","7.6","1.7","4.0","6.8",".068","-1.5","0.7","SAC"
"1995","NBA","2","51","Dejan Bodiroga","","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1994","NBA","1","8","Brian Grant","Xavier","756","21417","7933","5622","923",".490",".214",".746","28.3","10.5","7.4","1.2","54.5",".122","-0.8","6.2","SAC"
"1994","NBA","2","35","Michael Smith","Providence","449","10552","2527","3193","661",".538",".143",".529","23.5","5.6","7.1","1.5","23.4",".107","-0.1","5.1","SAC"
"1994","NBA","2","51","Lawrence Funderburke","Ohio State","318","4726","2031","1142","183",".506",".118",".675","14.9","6.4","3.6","0.6","12.9",".131","-0.5","1.8","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1993","NBA","1","7","Bobby Hurley","Duke","269","4170","1032","283","880",".353",".272",".769","15.5","3.8","1.1","3.3","-1.2","-0.014","-5.4","-3.5","SAC"
"1993","NBA","2","31","Evers Burns","Maryland","23","143","56","30","9",".400","",".522","6.2","2.4","1.3","0.4","0.1",".020","-5.5","-0.1","SAC"
"1993","NBA","2","44","Alex Holcombe","Baylor","","","","","","","","","","","","","","","","","SAC"
"1993","NBA","2","52","Mike Peplowski","Michigan State","68","705","194","176","26",".556",".000",".531","10.4","2.9","2.6","0.4","1.0",".067","-4.5","-0.4","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1992","NBA","1","7","Walt Williams","Maryland","708","18818","8385","2794","1637",".425",".379",".743","26.6","11.8","3.9","2.3","33.9",".087","0.5","11.8","SAC"
"1992","NBA","2","54","Brett Roberts","Morehead State University","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1991","NBA","1","3","Billy Owens (↳GSW)","Syracuse","600","17619","7026","4016","1704",".481",".291",".629","29.4","11.7","6.7","2.8","28.6",".078","-0.2","7.8","SAC"
"1991","NBA","1","27","Pete Chilcutt","UNC","584","8394","2494","1935","488",".441",".381",".696","14.4","4.3","3.3","0.8","10.6",".060","-1.8","0.3","SAC"
"1991","NBA","2","31","Randy Brown","New Mexico State","655","11533","3148","1173","1420",".417",".200",".691","17.6","4.8","1.8","2.2","11.0",".046","-1.9","0.2","SAC"
"1991","NBA","2","42","Steve Hood","James Madison University","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1990","NBA","1","7","Lionel Simmons","La Salle","454","13472","5833","2833","1498",".433",".305",".771","29.7","12.8","6.2","3.3","16.9",".060","0.0","6.7","SAC"
"1990","NBA","1","14","Travis Mays","Texas","115","2964","1273","233","326",".410",".362",".749","25.8","11.1","2.0","2.8","2.4",".039","-2.6","-0.5","SAC"
"1990","NBA","1","18","Duane Causwell","Temple","541","9409","2648","2273","243",".507",".286",".618","17.4","4.9","4.2","0.4","15.8",".081","-2.3","-0.7","SAC"
"1990","NBA","1","23","Anthony Bonner","Saint Louis","318","7372","2199","1726","442",".468",".125",".590","23.2","6.9","5.4","1.4","10.8",".070","-2.0","0.1","SAC"
"1990","NBA","2","40","Bimbo Coles (↳MIA)","Virginia Tech","852","20319","6628","1820","3313",".425",".267",".811","23.8","7.8","2.1","3.9","27.4",".065","-1.6","1.9","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1989","NBA","1","1","Pervis Ellison","Louisville","474","11593","4494","3170","691",".510",".050",".689","24.5","9.5","6.7","1.5","21.8",".090","-0.5","4.4","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1988","NBA","1","18","Ricky Berry","San Jose State","64","1406","706","197","80",".450",".406",".789","22.0","11.0","3.1","1.3","2.4",".083","-1.7","0.1","SAC"
"1988","NBA","2","29","Vinny Del Negro","NC State","771","19211","7038","1810","2484",".475",".359",".840","24.9","9.1","2.3","3.2","40.6",".101","-0.7","6.1","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1987","NBA","1","6","Kenny Smith","UNC","737","22213","9397","1454","4073",".480",".399",".829","30.1","12.8","2.0","5.5","46.8",".101","0.0","11.2","SAC"
"1987","NBA","3","51","Sven Meyer","Oregon","","","","","","","","","","","","","","","","","SAC"
"1987","NBA","4","74","Joe Arlauckas","Niagara University","9","85","34","13","8",".326","",".750","9.4","3.8","1.4","0.9","-0.1","-0.045","-6.8","-0.1","SAC"
"1987","NBA","5","97","Vernon Carr","Michigan State","","","","","","","","","","","","","","","","","SAC"
"1987","NBA","6","120","Daryl Thomas","Indiana","","","","","","","","","","","","","","","","","SAC"
"1987","NBA","7","143","Scott Adubato","Upsala College","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1986","NBA","1","17","Harold Pressley","Villanova","299","6802","2702","1339","628",".437",".358",".778","22.7","9.0","4.5","2.1","10.0",".070","0.3","4.0","SAC"
"1986","NBA","2","34","Johnny Rogers","University of California, Irvine","69","636","251","104","29",".472",".000",".679","9.2","3.6","1.5","0.4","0.4",".032","-4.8","-0.4","SAC"
"1986","NBA","3","57","Bruce Douglas","Illinois","8","98","14","14","17",".292",".000",".000","12.3","1.8","1.8","2.1","-0.2","-0.082","-3.0","0.0","SAC"
"1986","NBA","4","80","Alvin Franklin","Houston","","","","","","","","","","","","","","","","","SAC"
"1986","NBA","4","91","Bob Beecher","Virginia Tech","","","","","","","","","","","","","","","","","SAC"
"1986","NBA","5","103","Keith Morrison","Washington State","","","","","","","","","","","","","","","","","SAC"
"1986","NBA","6","126","John Flowers","UNLV","","","","","","","","","","","","","","","","","SAC"
"1986","NBA","7","149","Ron Rankin","SE Missouri State","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1985","NBA","1","6","Joe Kleine","Arkansas","965","14712","4666","3991","622",".453",".271",".794","15.2","4.8","4.1","0.6","19.1",".062","-3.9","-7.0","SAC"
"1985","NBA","3","51","Charles Bradley","South Florida","","","","","","","","","","","","","","","","","SAC"
"1985","NBA","3","66","Michael Adams","Boston College","653","20446","9621","1900","4209",".415",".332",".849","31.3","14.7","2.9","6.4","46.9",".110","1.9","19.9","SAC"
"1985","NBA","4","76","Willie Simmons","Louisiana Tech","","","","","","","","","","","","","","","","","SAC"
"1985","NBA","5","98","Bob Lojewski","Saint Joseph's","","","","","","","","","","","","","","","","","SAC"
"1985","NBA","6","120","Charles Balentine","Arkansas","","","","","","","","","","","","","","","","","SAC"
"1985","NBA","7","145","Alton Lee Gipson","Florida State","","","","","","","","","","","","","","","","","SAC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","SAC"
"1984","NBA","1","9","Otis Thorpe","Providence","1257","39822","17600","10370","2730",".546",".047",".687","31.7","14.0","8.2","2.2","106.4",".128","-0.1","19.1","SAC"
"1984","NBA","3","54","Roosevelt Chapman","Dayton","","","","","","","","","","","","","","","","","SAC"
"1984","NBA","3","56","Jeff Allen","St. John's","","","","","","","","","","","","","","","","","SAC"
"1984","NBA","4","80","Carl Henry","Kansas","28","149","78","19","4",".463",".400",".706","5.3","2.8","0.7","0.1","0.2",".049","-2.5","0.0","SAC"
"1984","NBA","5","102","Jim Foster","South Carolina","","","","","","","","","","","","","","","","","SAC"
"1984","NBA","6","126","Bruce Vanley","Tulsa","","","","","","","","","","","","","","","","","SAC"
"1984","NBA","7","148","Chipper Harris","Robert Morris University (PA)","","","","","","","","","","","","","","","","","SAC"
"1984","NBA","8","172","Nate Rollins","Fort Hays State University","","","","","","","","","","","","","","","","","SAC"
"1984","NBA","9","193","Greg Turner","Auburn","","","","","","","","","","","","","","","","","SAC"
